id_empresa,titular_de_registro
59,NGC Agrosciences Brasil Ltda - Botucatu/SP
60,Pilarquim Br Comercial Ltda.- São Paulo
61,Nave Bio Science Ltda
62,Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP
63,Agro-Lead Brasil Assessoria em Produtos Agrícolas Ltda - EPP
64,Alfa Agrotec Produtos Agrícolas Ltda
65,Helm do Brasil Mercantil - São Paulo/SP
66,Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP
67,Agrobiológica Soluções Naturais Ltda - Leme/SP
68,Promip Manejo Integrado de Pragas Ltda.
69,Zhongshan Química do Brasil - Sorocaba/SP
70,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba
71,Jubailireg Brasil Ltda - São Paulo/SP
72,Cooperativa Mista de Desenvolvimento do Agronegócio/COMDEAGRO - Primavera do Leste/MT
73,Ancom do Brasil Ltda.
74,ANASAC Brasil Comercio e Locação de Máquinas Ltda.
75,Lytone Brasil Comércio de Defensivos Agrícolas Ltda
76,Nichino do Brasil Agroquimicos Ltda.
77,Oxiquímica Agrociência Ltda
78,Sinochem Agro do Brasil Ltda.
79,Agbitech Controles Biológicos Ltda
80,Ascenza Brasil Ltda - Hortolândia/SP
81,Crystal Agro Ltda
82,Cooperativa Mista de Desenvolvimento do Agronegócio/COMDEAGRO - Campo Verde/MT
83,Sinon do Brasil Ltda. - Porto Alegre /RS.
84,Agrobiológica Sustentabilidade S.A. - Filial
85,SM Agrocare Brasil Importação Comércio e Serviços Agrícolas Ltda
86,Andermatt do Brasil Soluções Biológicas Ltda - ME
87,Environmental Science do Brasil Ltda
88,Nooa Ciencia e Tecnologia Agricola Ltda
89,Agrivalle Brasil Indústria e Comércio de Produtos Agrícolas S.A.  Indaiatuba/SP
90,Indofil Industries do Brasil Ltda.
91,Sumitomo Chemical Brasil Indústria Química S.A. - São Paulo/SP
92,Lacsa Agronegócios Ltda  Cravinhos/SP
93,Coromandel Brasil Ltda.- Cotia/SP
94,4Terra Comércio e Representações Ltda - Piracicaba/SP
95,Proventis Lifescience Defensivos Agrícolas Ltda
96,Proregistros Registros de Produtos Ltda - EPP
97,Lemma Agronegócios Importação e Exportação Ltda.
98,Acrom Agroindustrial Ltda- Londrina/PR
99,"Gaia Agro Solutions Comércio, Importação e Exportação Ltda.- São Paulo/SP"
100,Scheffer Indústria e Comércio de Biodefensivos Agrícolas Ltda - Sapezal/MT
101,Bem da Terra Biológicos S.A
102,B Plant Ltda
103,Bioma Indústria Comércio e Distribuição Ltda - Fazenda Rio Grande/PR
104,Simbiose Biociencias S.A.
105,Total Biotecnologia Industria e Comercio S/A - Curitiba/PR
106,Solefert Industria e Comercio Ltda.
107,Vectorcontrol Industria e Comercio de Produtos Agropecuários Ltda.  Vinhedo/SP
108,Bom Futuro Agrícola Ltda. - Campo Verde/MT
109,Dillon Biotecnologia Ltda
110,Bosquiroli e Santos Ltda.
111,Bio Insumos Nativa do Brasil Ltda - Hortolândia/SP
112,Mezfer BR Soluções Agrícolas Ltda
113,Biota Innovations Industria e Comercio de Bioprodutos Ltda  Uberaba/MG
114,TOPBIO - Insumos Biológicos Indústria e Comércio Ltda  Tibau/RN
115,Innova Ltda
116,BRA Defensivos Agrícolas Ltda - Piracicaba/SP
117,Solatus Biotecnologia e Insumos Ltda. - Jardinopolis/SP
118,Oligos Biotecnologia Fabricação de Defensivos Agrícolas Ltda
119,Valeouro Biotec S/A - Uberaba/MG
120,JCO Indústria e Comércio de Fertilizantes Ltda.
121,Biomix Industria e Comercio de Insumos Organicos Ltda - Cotia/SP
122,Leven Indústria e Comércio de Produtos para Agricultura Ltda.
123,Bellacotesia Controle Biológico Ltda
124,Wynca do Brasil Ltda  São Paulo
125,Biota Innovations Ind. e Com. de Bioprodutos Ltda  Filial Uberaba/MG
126,Solubio Tecnologias Agricolas S.A.  Jataí/GO
127,Bio Defense - Controle Biológico Ltda - ME
128,Vital Brasil Chemical Industria e Comercio de Produtos Quimicos Ltda - ME
129,Biomip Controle Biológico S/A
130,Biocaz Ltda.
131,Biossíntese Agriscience Ltda
132,Serquibio Biotecnologia Ltda - Santa Bárbara d'Oeste/SP
133,Zhongxun do Brasil Ltda - São Paulo/SP
134,Morsoletto Controle Biológico Ltda
135,Bioeco Cana Produtos Biologicos Ltda - ME
136,Genetica Tecnologias Ambientais Ltda
137,BioIn Biotecnologia Ltda. - Porto Alegre/RS
138,Cooperativa de Cafeicultores e Agropecuaristas - COCAPEC
139,J. A. Moura Gonçalves Fertilizantes Eireli  Avaré/SP
140,Biotech Controle Biológico Ltda.- Maceió
141,Agronatural Comércio de Defensivos Biológicos e Serviços Técnicos Ltda -Jaraguari/MS
142,Bioenergia do Brasil S.A.
143,Inflora Biociência Ltda
144,Endeavour Biologicos Ltda - Rio de Janeiro/RJ
145,Indigo Brazil Agricultura Ltda
146,Toyobo do Brasil Produtos Biológicos Ltda.
147,Café Brasil Indústria Comércio Importação e Exportação S/A - Alfenas/MG
148,Rizobacter do Brasil Ltda
149,Companhia Nitro Química Brasileira - Sertãozinho/SP
150,Viva Soluções Biologicas Ltda  Machado/MG
151,Biossíntese Pesquisa e Desenvolvimento Ltda.
152,Biofungi Ind. e Com. de Def. Biológicos e Inoculantes Ltda.
153,Arconi Biotecnologia Ltda
154,Coopavel Cooperativa Agroindustrial
155,Beifiur Ltda
156,Novozymes BioAg Produtos para Agricultura Ltda - Quatro Barras/PR
157,TZ Biotec Ltda.
158,"Brandt Soluções em Agricultura Ltda, - Cambé/PR"
159,Tudo Rural Agronegocios  do Brasil Ltda  Erechim/RS
160,Sipcam Nichino Brasil S.A. - Uberaba/MG
161,Bequisa Indústria Química do Brasil Ltda.
162,Partner Agroservice Consultoria em Agronegócio Ltda  EPP
163,Taminco do Brasil Produtos Químicos Ltda
164,Farmhannong do Brasil Limitada
165,Apoena Biosoluções do Brasil Ltda
166,VSF Agricultura Sustentável e Comércio Ltda  Petrolina/PE
167,Associação dos Plantadores de Cana do Oeste do Est de São Paulo
168,DVA Brasil Produtos Agrícolas Ltda - Indaiatuba/SP
169,Associação Mineira dos Produtores de Algodão - AMIPA
170,Gharda do Brasil Soluções Agrícolas Ltda.
171,Biogrow do Brasil Ltda. - Valinhos/SP
172,Citron Indústria e Comércio de Produtos Químicos Ltda.
173,Longwind Cropscience Brazil Ltda - Porto Alegre/RS
174,Brilliance Produtos Agrícolas Ltda
175,Nutrien Soluções Agrícolas Ltda.  São Paulo/SP
176,Elo Simbiotica Agro Tecnologia Ltda- Primavera do Leste/MT
177,Compostec Soluçôes Agroambientais Ltda  Toledo/PR
178,Ioto International Ind. Com. Prod. Aromaticos Ltda
179,Proquimur Agro do Brasil Ltda.  São Paulo
180,Wilson Barbosa de Oliveira - ME
181,JLG Cruz Controle Biológico Ltda
182,Tonon Produção de Agentes Biológicos Ltda
183,Robson da Cunha Mendes ME
184,Braz e Costa Produtos Biologicos Ltda - Itumbiara
185,Cetma - Comércio de Agentes para Controle Biológico Ltda - EPP
186,Fernando de J. B. Tino - ME
187,Laboratorio de Entomologia Paraguaçu Ltda - ME
188,MCP Controle Biológico Ltda.
189,Willian de Oliveira Laboratório - ME
190,Raizen Energia S.A  - Filial Barra
191,Auca Controle Biológico Ltda-ME
192,Laboratório Biocamp Valparaiso Ltda
193,Braz e Costa Produtos Biologicos Ltda - Pontal
194,Biorganic Produtos Biológicos e Orgânicos Ltda.- ME
195,FC Bioinsumos Ltda
196,Fitoagro Controle Biológico Ltda
197,Bioeffect Controle Biológico de Pragas Ltda.
198,BioResult Comércio de Agentes para Controle Biológico Ltda
199,JM - Criação de Organismos para Controle Ecologico Ltda - ME
200,PROBIO- Produtos Biológicos Ltda
201,Associação de Plantadores de Cana da Paraiba- ASPLAN
202,AMVAC do Brasil Importação e Comércio de Insumos Agrícolas Ltda
203,Valentto Biodefensores Ltda  Patos de Minas/MG
204,Vittia Macro Ltda - Artur Nogueira/SP
205,Base Biotecnologia Ltda- Votuporanga/SP
206,BC Ecocare Biotecnologia ltda
207,Hubio Biopar Agro Indústria e Comércio de Produtos Químicos e Biológicos Ltda.  Alvorada/MG
208,Lallemand Solucoes Biologicas Ltda - Piracicaba/SP
209,Funguran Giulini Ltda.
210,Tagros Brasil Comércio de Produtos Químicos Ltda.
211,Dalneem Brasil Comercio de Produtos Agropecuarios Ltda
212,Monsanto do Brasil Ltda - São Paulo
213,Red Surcos do Brasil Comércio Agropecuário Ltda
214,CL Empreendimentos Biológicos Ltda
215,Luxembourg Brasil Comércio de Produtos Químicos Ltda
216,Dinagro Agropecuária Ltda.
217,Dekalpar Brasil Ltda - Londrina/PR
218,Green Place Comércio e Distribuição Ltda.
219,Harmony Inputs S.A. - Votorantim/SP
220,Jubaili Brasil Ltda - São Paulo/SP
221,Santo Expedito 333 Industria e Comercio de Produtos Agropecuários Ltda - Olímpia/SP
222,Fosfoquim Brasil Aluguel de Equipamentos de Fumigação Ltda
223,"Aqua do Brasil Industria, Comercio, Importacao e Exportacao de Produtos Agricolas Ltda"
224,Maxunitech do Brasil Ltda
225,Rawell Agro Ltda - ME
226,Yonon Biociências e Defensivos Agrícolas Ltda.
227,Excellence Industria e Comercio de Produtos Biologicos Ltda  - Aparecida de Goiânia/GO
228,De Sangosse Agroquímica Ltda
229,Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda  Monte Mor/SP
230,Contacta Registros e Gestão Agropecuária Ltda
231,BR3 Tecnologia e Indústria Química e Farmacêutica Ltda
232,Feican Criação de Animais para Controle Biológico Ltda - EPP
233,Landevo Quimica do Brasil Ltda.
234,Coopercitrus Cooperativa de Produtores Rurais - Bebedouro/SP
235,Plato do Brasil Ltda
236,GreenUp Assessoria e Agricultura Sustentável Ltda
237,Unibrás Agro Química Ltda.
238,Foison do Brasil Defensivos Agrícolas e Comércio Ltda
239,Dominus Química Ltda. - ME
240,Ecco Control Controle Ecológico de Pragas Indústria e Comércio Ltda
241,Solagro Soluções Agrícolas Ltda - São Paulo/SP
242,"Organoplant-Indústria, Comércio, Importação e Exportação de Produtos Agrícolas Ltda"
243,Indústria Química Guerra Ltda.
244,Fuhua Brasil Comercio de Produtos Quimicos Ltda.
245,Amaggi Exportação e Importação Ltda - Matriz Cuiaba/MT
246,Alamos do Brasil Ltda.
247,Xingfa Brasil Ltda
248,ADM do Brasil Ltda.  São Paulo/SP
249,Citromax Industria e Comercio Ltda - São Lourenço do Oeste/SC
250,Rieter do Brasil Indústria Química Ltda
251,Somax Agro do Brasil Ltda - Foz do Iguaçu/PR
252,Willowood Agriscience Representação Comercial Ltda  Campinas/SP
253,Agrocete Industria de Fertilizantes Ltda
254,Uby Agroquímica S.A - Uberaba/MG
255,Vitales Soluções Biológicas Ltda
256,Agrária Indústria e Comércio Ltda.
257,"Green World Comércio, Importação e Exportação de Insumos Agrícolas Ltda"
258,Prophyto Comercio e Serviços Ltda.  São Paulo/SP
259,Superbac Biotechnology Solutions S.A
260,"AMVAC do Brasil 3P Ltda,"
261,Hailir Brasil Defensivos Agricolas Ltda - São Paulo/SP
262,"DVerde Comércio, Importação e Exportação Ltda."
263,Biofabrica Moscamed Brasil - Biomoscamed
264,Isca Tecnologias Ltda.
265,Irrigação Dias Cruz Ltda - ME
266,Biocross do Brasil Fertilizantes Ltda
267,Comexport Trading Comércio Exterior Ltda - Itajaí/SC
268,Omex Agrifluids do Brasil Produtos Agrícolas Ltda.
269,Agrilean Inputs S.A. - Barueri/SP
270,Jotew Service Ltda - Barueri/SP
271,Landrin Indústria e Comércio de Inseticidas Ltda.
272,Tecnocell Agroflorestal Ltda.
273,Agrolimuda do Brasil Ltda - Guarulhos/SP
274,Limin Biotechnology do Brasil Ltda - São Paulo/SP
275,Elemental Enzymes do Brasil Ltda - São Paulo/SP
276,Agrobiotech Agronegocio Ltda  Jardinópolis/SP
277,Biopar Produtos Biologicos do Parana LTDA
278,MB Enzymas Ltda  Saltinho/SP
279,Mac-Café Biotecnologia Agrícola Ltda
280,Eastchem do Brasil Ltda - Mogi das Cruzes/SP
281,Industria Quimica Dipil Ltda
282,Prime Agro Produtos Agrícolas Ltda
283,Indústria Química Cajazeira Ltda.
284,Haffs Indústria e Comércio de Insumos Agro & Químicos Ltda - Itaquaquecetuba/SP
285,Meghmani Organics Biodefensivos e Agrícolas do Brasil Ltda - Campinas/SP
286,Atlas Bioinsumos Ltda -  São Sebastião do Paraíso/MG
287,Intercuf Indústria e Comércio Ltda.
288,Atta Kill Ind. e Com. de Def. Agric. Ltda.  Rio Claro
289,Pi Agsciences Brasil Ltda - São Paulo/SP
290,Stoller do Brasil Ltda.
291,Agropaulo Agroindustrial S.A. - Jaguaruana
292,Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA Florestas
293,Trustchem Brazil Agroscience Sociedade Unipessoal Ltda - São Paulo/SP
294,Noduagri Biotecnologia Ltda
295,Openeem Bioscience Industria e Comercio S.A - São Paulo/SP
296,Petrobrás Distribuidora S.A.  Duque de Caxias
297,Agrichem do Brasil S.A.
298,Vivus Agro Defensivos Agricolas Ltda.- Piracicaba/SP
299,"Viahum Comércio, Importação e Exportação Ltda"
300,Provivi do Brasil Serviços Agrícolas Ltda.
301,OHMS Agro Brasil Ltda
302,Sul-Mip Indústria e Comércio de Agentes Bíológicas Ltda
303,União Química Farmacêutica Nacional S.A
304,Naturacide do Brasil Comércio de Produtos Agropecuários Ltda. - São Paulo/SP
305,Rising Sun Protection Ltda
306,Quantiq Distribuidora Ltda  Guarulhos/SP
307,Chemitec Agro Veterinária Ltda..
308,F1rst Agbiotech Ltda.
309,Fenix Agro-Pecus Industrial Ltda.
310,Improcrop do Brasil Ltda
311,Industria de Fertilizantes Macrobio Ltda - Santa Helena/PR
312,Kimitec do Brasil Importação e Exportação de Biotecnologia Agrícola Ltda
313,Ventura Comércio e Distribuição de Insumos Agrícolas Ltda
314,Interacta Química Ltda
315,Lesaffre do Brasil Produtos Alimentícios Ltda - Campinas/SP
316,CD Safety Comércio e Importação Ltda -Paranaguá/PR
317,Mitsui Chemicals do Brasil Comércio Ltda.
318,Innovak do Brasil Produtos Agrícolas Ltda
319,Tessenderlo Kerley Brasil Ltda
320,Tech Crop Agronegócio Ltda.
321,Mineração e Pesquisa Brasileira Ltda.
322,W. Neudorff Servicos de Agricultura do Brasil Ltda. - ME
323,SÃO MARTINHO S.A.
324,Chemical Solution Pará Ltda
325,Rizzi & Cia. Ltda.
326,Companhia Nitro Quimica Brasileira - Cesário Lange/SP
327,Microsal Indústria e Comércio Ltda. - Capivari
328,Companhia Brasileira De Petróleo Ipiranga.
329,ADM do Brasil Ltda.  Rondonópolis/MT
330,Ecosolução Agrociências e Soluções Ambientais Ltda. - Santo Antonio de Posse/SP
331,Biovirtus Soluções Ambientais Ltda.  Vinhedo/SP
332,Symborg Participações Ltda - Hortolândia/SP
333,"Soloeste Industria, Comercio, Importacao e Exportacao Ltda - ME"
334,Stockton Agrimor do Brasil Ltda.
335,HB Industria e Comercio de Insumos Agricolas e Fertilizantes Eireli -  Primavera Do Leste/MT
336,Farmbio Industria e Comercio de Defensivos Agricolas Ltda
337,Insecta Bio Indústria e Comercio Ltda - Campo Verde/MT
338,"CEPLAC - Ministerio da Agricultura, Pecuária e Abastecimento"
339,Vittia S.A - São Joaquim da Barra 02
340,Nufarm do Brasil Ltda
341,Daymsa do Brasil Comercial de Insumos Agrícolas Ltda.
342,Superbac Biotecnology Solutions S.A.-Cotia/SP
343,Cooperativa Mista de Desenvolvimento do Agronegócio/COMDEAGRO - Rondonopolis/ MT
